VIN,Make,Model,Year,Variant,Body_Type,Color,Fuel_Type,Transmission_Type,Engine_CC,Price
go30079841996,BMW,5 Series,2023,XLE,Sedan,Gray,Electric,Automatic,2000,49773
Mr58011395220,Toyota,Camry,2025,Premium,Sedan,White,Diesel,Automatic,2500,22917
xH33637355532,Tesla,Model S,2020,Premium,Sedan,Red,Petrol,Manual,1800,60739
qi06652580952,Tesla,Model S,2021,Sport,Sedan,Blue,Hybrid,Automatic,2500,75937
VO46009121055,Ford,Mustang,2025,XLE,Coupe,White,Diesel,Automatic,2000,33949
MJ60684343831,Toyota,RAV4,2018,Premium,SUV,Gray,Diesel,Automatic,1500,61472
LX07072855095,BMW,5 Series,2025,XLE,Sedan,Red,Electric,Manual,1800,23246
AF62400506533,Honda,Accord,2018,SE,Sedan,Red,Electric,Manual,1800,31005
vK04955304178,Honda,CR-V,2022,SE,SUV,Black,Hybrid,Automatic,3000,29651
BU74785092565,BMW,X5,2020,SE,SUV,White,Petrol,Manual,1500,38929
iN41206658057,Ford,Explorer,2018,Sport,SUV,Blue,Hybrid,Manual,1800,24509
Sf02914592851,Toyota,Camry,2022,LX,Sedan,Black,Diesel,Automatic,1500,63815
uD13761254002,Honda,Civic,2018,LX,Sedan,Black,Hybrid,Automatic,2500,42360
pT29225265175,Ford,Mustang,2021,SE,Coupe,White,Petrol,Automatic,1500,66430
oF72502071996,Toyota,RAV4,2022,Sport,SUV,Gray,Hybrid,Automatic,1500,74483
yL24211830944,BMW,3 Series,2023,XLE,Sedan,Blue,Electric,Automatic,1800,77322
Io53521663687,Toyota,Camry,2021,LX,Sedan,White,Hybrid,Manual,1800,51522
RG30714583793,Honda,Civic,2023,Sport,Sedan,Black,Electric,Automatic,1500,32255
Ao59633738810,Ford,F-150,2019,SE,Truck,Gray,Petrol,Manual,2000,37261
KJ94892843468,Toyota,Camry,2022,SE,Sedan,Black,Electric,Manual,2500,27094
qA84868263111,Toyota,Camry,2021,XLE,Sedan,Gray,Hybrid,Automatic,1800,62936
UH33803589199,Tesla,Model Y,2021,Premium,SUV,White,Hybrid,Automatic,1500,59074
Cb31857268647,BMW,X5,2024,Premium,SUV,Blue,Hybrid,Manual,1500,32042
Iv02014798634,Honda,CR-V,2025,Sport,SUV,Gray,Hybrid,Automatic,1500,30575
Ne96340796133,Honda,Civic,2024,Premium,Sedan,Blue,Diesel,Automatic,2500,37215
dM38272138861,Toyota,RAV4,2019,XLE,SUV,Gray,Hybrid,Manual,1800,64379
hT38249347655,Honda,CR-V,2022,SE,SUV,Red,Petrol,Manual,1500,33255
ot10891413330,Toyota,RAV4,2025,XLE,SUV,Gray,Hybrid,Automatic,2500,45842
Id38931568242,Tesla,Model Y,2018,LX,SUV,Black,Electric,Automatic,2000,75124
WP36287725278,Tesla,Model Y,2025,Premium,SUV,Blue,Electric,Manual,3000,56887
gn96750299654,Ford,F-150,2019,XLE,Truck,White,Diesel,Automatic,1800,59230
ha77009110578,Toyota,Camry,2021,XLE,Sedan,White,Electric,Manual,1500,48222
GD26598674510,BMW,3 Series,2025,Sport,Sedan,Gray,Hybrid,Automatic,2500,42813
ZQ14164309979,Honda,Accord,2024,SE,Sedan,Blue,Hybrid,Automatic,3000,54448
gO37300256975,Toyota,Corolla,2022,Premium,Sedan,Red,Electric,Automatic,3000,54128
TD93287533521,Toyota,Corolla,2018,Sport,Sedan,Black,Electric,Manual,3000,71445
WQ82705615001,Honda,CR-V,2025,SE,SUV,Gray,Hybrid,Automatic,2500,27890
hk69838035692,Ford,Mustang,2025,XLE,Coupe,Black,Diesel,Automatic,2500,30579
xU43015783187,Toyota,Camry,2023,SE,Sedan,White,Diesel,Manual,3000,30419
Ut95732001741,Tesla,Model S,2025,Premium,Sedan,Black,Hybrid,Automatic,1500,75166
jc76034452300,Ford,Explorer,2025,LX,SUV,Red,Petrol,Automatic,1800,70817
yC82537834929,Tesla,Model Y,2021,XLE,SUV,White,Hybrid,Automatic,3000,50994
lb99234624380,BMW,3 Series,2018,Premium,Sedan,Blue,Hybrid,Manual,1800,50352
UO11866184504,Honda,Civic,2021,Sport,Sedan,Black,Hybrid,Automatic,3000,23170
zB84928830027,Honda,Accord,2018,XLE,Sedan,Gray,Electric,Manual,1800,67521
GL36784685885,Toyota,Camry,2020,Premium,Sedan,Gray,Electric,Automatic,2000,39820
st44419091019,BMW,X5,2020,LX,SUV,Black,Petrol,Manual,2500,74547
fK52417366461,Honda,Civic,2021,LX,Sedan,White,Electric,Manual,2000,55451
zV90026371256,Toyota,RAV4,2023,Premium,SUV,Black,Hybrid,Manual,3000,32362
Gz79637705884,BMW,X5,2023,Premium,SUV,White,Diesel,Manual,1500,73638
dJ39300881208,Honda,CR-V,2018,SE,SUV,Blue,Electric,Automatic,1500,27930
hx65960417859,BMW,3 Series,2020,LX,Sedan,Black,Diesel,Manual,1500,46461
aF04658241041,Tesla,Model 3,2024,Premium,Sedan,Red,Electric,Automatic,1800,67490
iu16275095899,Toyota,Corolla,2020,LX,Sedan,Red,Hybrid,Manual,3000,39732
cg66795356477,Honda,Accord,2024,XLE,Sedan,Gray,Diesel,Automatic,1500,20671
ea84231449289,Ford,Mustang,2019,Premium,Coupe,Gray,Hybrid,Automatic,3000,49797
eL09825182643,Toyota,RAV4,2025,XLE,SUV,Blue,Diesel,Automatic,1800,69425
MK58448847135,Toyota,Camry,2025,XLE,Sedan,Red,Electric,Manual,2500,43671
xg38710103645,BMW,3 Series,2019,LX,Sedan,Red,Electric,Manual,2500,60033
Fs85848070167,Tesla,Model Y,2025,LX,SUV,Blue,Petrol,Manual,1500,50810
kH83262492360,BMW,3 Series,2021,SE,Sedan,White,Hybrid,Automatic,2000,53963
Dc12869651397,Honda,Accord,2024,LX,Sedan,Red,Hybrid,Manual,2000,36969
Ym87603093497,Toyota,RAV4,2019,XLE,SUV,Blue,Electric,Manual,2000,52235
bL34584109888,Toyota,Corolla,2018,LX,Sedan,Blue,Electric,Automatic,2500,76043
Wg48689911014,Honda,Accord,2020,SE,Sedan,Black,Electric,Manual,1800,59338
jb07284533117,Tesla,Model S,2019,Sport,Sedan,Gray,Electric,Automatic,3000,34998
GE29104480082,Tesla,Model S,2018,SE,Sedan,Blue,Diesel,Manual,3000,59506
yZ53170090734,Ford,Mustang,2024,LX,Coupe,White,Diesel,Manual,1500,75934
QB18823402153,Ford,Mustang,2020,LX,Coupe,Red,Petrol,Manual,1500,65935
na61430825963,Toyota,Corolla,2023,Premium,Sedan,Blue,Petrol,Manual,2500,55650
ay46343940735,Ford,Mustang,2020,Premium,Coupe,Red,Hybrid,Automatic,3000,45845
Bo93940589059,BMW,3 Series,2020,LX,Sedan,White,Hybrid,Automatic,2500,42032
be47513750148,Tesla,Model Y,2025,XLE,SUV,White,Diesel,Automatic,1800,45327
SY87700852948,Honda,Civic,2019,LX,Sedan,White,Hybrid,Automatic,2000,23712
uR45824638555,Tesla,Model 3,2022,XLE,Sedan,Blue,Electric,Automatic,3000,57618
LL34426435724,Ford,Mustang,2020,Sport,Coupe,Blue,Electric,Manual,2000,49700
hf76769431503,Honda,CR-V,2018,Premium,SUV,Blue,Electric,Manual,3000,58392
HV77708915668,Toyota,Corolla,2025,Sport,Sedan,White,Hybrid,Automatic,1800,77869
Rx03972950053,Tesla,Model Y,2021,Premium,SUV,Blue,Diesel,Automatic,1500,36886
SI45587119519,Tesla,Model S,2024,XLE,Sedan,White,Diesel,Automatic,3000,53471
RH96097825078,Tesla,Model Y,2023,Sport,SUV,Black,Hybrid,Manual,1500,70214
Ce29826495739,Ford,Explorer,2022,Sport,SUV,Red,Hybrid,Automatic,2000,66328
wC04970565857,BMW,3 Series,2024,Premium,Sedan,Red,Electric,Automatic,1800,62107
LA24112936790,Tesla,Model S,2024,XLE,Sedan,Black,Diesel,Manual,1800,50564
ij06173986802,BMW,5 Series,2024,SE,Sedan,Red,Petrol,Manual,3000,79415
XB70792226726,Ford,Explorer,2024,LX,SUV,White,Hybrid,Automatic,1500,32673
oF38216067967,Honda,Civic,2020,LX,Sedan,Blue,Hybrid,Automatic,1500,27078
hg73174334430,Tesla,Model Y,2025,LX,SUV,Gray,Hybrid,Manual,1800,64300
tT81010189753,BMW,5 Series,2025,SE,Sedan,Red,Electric,Automatic,2000,38796
EF45878538759,Ford,Explorer,2021,LX,SUV,Black,Diesel,Automatic,1800,33004
Gd49177303117,Toyota,RAV4,2019,Sport,SUV,White,Petrol,Automatic,2500,33505
cj84160294184,Honda,CR-V,2020,LX,SUV,White,Diesel,Manual,1500,25147
xV37220916167,Tesla,Model S,2022,Premium,Sedan,Blue,Diesel,Automatic,3000,22043
eg20910792850,Tesla,Model 3,2019,XLE,Sedan,Gray,Petrol,Automatic,1800,72926
lv94107943063,Toyota,Corolla,2024,LX,Sedan,Red,Electric,Automatic,2500,66380
xO73900598948,Honda,Accord,2023,SE,Sedan,Gray,Electric,Manual,1500,27760
Ob17215865257,Honda,CR-V,2019,LX,SUV,White,Electric,Automatic,2500,34395
vi21180980549,Ford,Explorer,2019,Sport,SUV,Black,Hybrid,Manual,2500,43240
lq76185650464,Toyota,Camry,2025,Sport,Sedan,Red,Diesel,Automatic,1500,78314
Kg04821802505,Tesla,Model Y,2025,LX,SUV,Gray,Hybrid,Manual,2500,62209
RU01548934102,BMW,3 Series,2025,Sport,Sedan,White,Petrol,Manual,1800,48187
wy68546403262,Tesla,Model S,2024,SE,Sedan,White,Hybrid,Automatic,1500,26614
Zl96171443049,Tesla,Model 3,2024,SE,Sedan,Red,Petrol,Automatic,2000,35375
ba55037513560,BMW,5 Series,2019,LX,Sedan,Red,Hybrid,Automatic,3000,52023
Jb39040819357,Honda,Civic,2024,LX,Sedan,White,Hybrid,Automatic,1800,74953
HY18758222639,Tesla,Model S,2021,LX,Sedan,White,Hybrid,Automatic,2000,60381
UC97063292518,Tesla,Model Y,2020,Sport,SUV,White,Electric,Automatic,3000,56131
gV93118601287,Ford,F-150,2019,SE,Truck,White,Petrol,Manual,3000,48636
jt14016604928,BMW,3 Series,2018,LX,Sedan,Blue,Diesel,Manual,2500,34218
zm99344927321,Tesla,Model 3,2023,XLE,Sedan,Red,Diesel,Automatic,2500,62865
Qq95375286111,Honda,CR-V,2023,Sport,SUV,Gray,Petrol,Automatic,3000,36687
So65941008218,Ford,Mustang,2020,XLE,Coupe,Blue,Electric,Automatic,2000,51904
ln45506338233,Honda,Accord,2023,XLE,Sedan,Red,Diesel,Automatic,1500,66164
ep18316483677,Toyota,RAV4,2025,LX,SUV,White,Diesel,Automatic,3000,62720
CK89798201510,Honda,Civic,2025,SE,Sedan,White,Diesel,Manual,3000,61556
Zj98881572600,Honda,Civic,2018,LX,Sedan,Blue,Petrol,Manual,2000,37391
aD48218157833,Toyota,RAV4,2024,XLE,SUV,Red,Diesel,Automatic,2000,72693
sy97899196248,BMW,5 Series,2020,Premium,Sedan,White,Hybrid,Automatic,1500,20251
pR46688262542,Ford,Explorer,2019,Premium,SUV,Red,Petrol,Automatic,2500,39658
UF31205513186,Honda,Accord,2023,Sport,Sedan,White,Diesel,Manual,1800,75704
PB76171354898,Honda,Civic,2018,Sport,Sedan,Black,Electric,Automatic,1800,29321
ah03304915805,Tesla,Model S,2021,Sport,Sedan,Red,Diesel,Manual,2000,64259
Bp75036777873,Toyota,RAV4,2023,LX,SUV,Gray,Hybrid,Automatic,3000,27441
sM80160109167,Tesla,Model Y,2025,XLE,SUV,Gray,Petrol,Automatic,1800,27231
vB49033172079,Toyota,RAV4,2022,Sport,SUV,Black,Petrol,Manual,2000,43199
GN76896395330,Tesla,Model 3,2021,Premium,Sedan,Black,Hybrid,Automatic,1500,55523
Nx35989107288,BMW,5 Series,2024,LX,Sedan,Black,Diesel,Manual,3000,21598
OK37980820108,BMW,5 Series,2023,SE,Sedan,Blue,Electric,Automatic,2500,67743
od73964069671,Honda,Accord,2019,XLE,Sedan,Red,Electric,Manual,2500,72071
sr34075341261,Toyota,RAV4,2020,LX,SUV,Black,Hybrid,Manual,3000,65510
zC42354463203,BMW,3 Series,2019,Premium,Sedan,Gray,Petrol,Manual,2500,21048
XF77578277852,BMW,5 Series,2024,SE,Sedan,Red,Diesel,Manual,3000,46100
Gn04814389026,Ford,Explorer,2019,Sport,SUV,White,Hybrid,Manual,1800,49533
Ft77691078581,Honda,Civic,2025,Sport,Sedan,White,Hybrid,Manual,1800,66342
pS66809285084,Honda,CR-V,2018,XLE,SUV,White,Diesel,Automatic,2000,52842
Yv67458950008,Honda,Civic,2020,Sport,Sedan,Blue,Diesel,Manual,3000,41565
GF18975918136,Ford,F-150,2018,SE,Truck,White,Petrol,Manual,1500,35741
Cy57234561563,Honda,Civic,2024,XLE,Sedan,Gray,Petrol,Manual,2000,52827
TG94457208479,BMW,5 Series,2020,LX,Sedan,Blue,Petrol,Automatic,1500,40687
iY03605973350,BMW,3 Series,2023,SE,Sedan,White,Petrol,Automatic,1800,28124
xX32387338645,BMW,X5,2019,XLE,SUV,Red,Hybrid,Automatic,1500,42314
rO43196763907,Toyota,RAV4,2025,XLE,SUV,Red,Diesel,Automatic,3000,64012
tb46858118138,Honda,CR-V,2019,LX,SUV,Blue,Petrol,Manual,1800,63884
Qq50733579322,Honda,Civic,2024,Premium,Sedan,Black,Diesel,Manual,2500,22820
nG37062517180,Ford,Mustang,2024,XLE,Coupe,White,Petrol,Automatic,2000,31331
KK28699748128,Honda,CR-V,2023,LX,SUV,Black,Hybrid,Manual,3000,79760
yo02125285194,Honda,Accord,2024,XLE,Sedan,White,Electric,Automatic,3000,27633
rE98087794840,Tesla,Model S,2020,SE,Sedan,Blue,Hybrid,Automatic,2500,58596
on33801686704,Ford,Explorer,2025,Sport,SUV,White,Hybrid,Automatic,1800,74795
ct30607956875,BMW,5 Series,2023,LX,Sedan,Red,Hybrid,Manual,1800,71855
ox22031645259,BMW,X5,2018,SE,SUV,Black,Petrol,Automatic,1800,48737
mm96545438217,Honda,Accord,2021,SE,Sedan,Red,Electric,Automatic,3000,55787
Bc72366128001,Honda,Accord,2018,Premium,Sedan,Red,Diesel,Automatic,1500,51247
vp62957753248,Toyota,Corolla,2018,SE,Sedan,Blue,Petrol,Automatic,3000,72836
sZ44834830298,Honda,Accord,2020,LX,Sedan,Blue,Diesel,Manual,2000,32068
IC09452491250,Toyota,Camry,2024,XLE,Sedan,Red,Petrol,Manual,2500,68007
oz80612103644,Ford,F-150,2024,SE,Truck,Gray,Petrol,Automatic,2500,25783
az60199969406,Ford,F-150,2021,Sport,Truck,Red,Hybrid,Manual,3000,47058
gR73239554845,Tesla,Model Y,2019,Premium,SUV,White,Diesel,Manual,2000,75018
OY33669384071,Ford,Mustang,2022,XLE,Coupe,Black,Electric,Manual,1500,66421
pu03641620189,Toyota,Corolla,2025,Premium,Sedan,Blue,Petrol,Automatic,1800,73471
of36269213990,BMW,3 Series,2021,SE,Sedan,Gray,Diesel,Automatic,1800,42583
CI64690295133,Ford,Explorer,2019,Sport,SUV,Red,Hybrid,Automatic,1800,61782
MM90625682314,Toyota,Camry,2021,LX,Sedan,Gray,Diesel,Automatic,1800,78178
HM73094248620,Honda,Accord,2021,Premium,Sedan,White,Petrol,Automatic,2500,68084
Mc00267975869,BMW,X5,2024,Sport,SUV,Gray,Petrol,Automatic,2500,28103
We11587967201,Honda,Accord,2018,Sport,Sedan,Black,Hybrid,Automatic,1800,33684
ms00488155622,BMW,X5,2021,LX,SUV,Gray,Electric,Manual,2000,44919
jz16117204823,Honda,Accord,2018,Premium,Sedan,Black,Hybrid,Automatic,3000,72485
wS83068056895,Toyota,Camry,2025,Sport,Sedan,Blue,Hybrid,Automatic,2000,57657
sI89554159766,BMW,X5,2019,XLE,SUV,Black,Hybrid,Automatic,1800,67834
Dq91386385395,Toyota,RAV4,2018,Premium,SUV,Gray,Electric,Automatic,3000,50250
Um61297446275,Ford,Explorer,2025,Sport,SUV,Gray,Petrol,Automatic,2000,46222
Ic37377195970,Honda,CR-V,2021,LX,SUV,Red,Hybrid,Automatic,1500,38662
zW45286680552,Toyota,Corolla,2021,XLE,Sedan,Blue,Diesel,Automatic,1800,45556
DK77553915485,BMW,5 Series,2021,LX,Sedan,Blue,Hybrid,Manual,2500,39117
da80845467823,Tesla,Model 3,2020,SE,Sedan,Red,Diesel,Manual,2000,65401
jS44609899629,BMW,5 Series,2023,Sport,Sedan,White,Diesel,Automatic,3000,21767
lP67195796902,Toyota,Camry,2019,XLE,Sedan,White,Hybrid,Manual,3000,73433
Up96086751288,Tesla,Model 3,2021,LX,Sedan,Red,Diesel,Automatic,3000,72455
rS55453461793,BMW,5 Series,2021,Premium,Sedan,Blue,Electric,Manual,2000,74966
es07055624687,Honda,Accord,2020,Sport,Sedan,Blue,Diesel,Automatic,3000,38316
Hq00102084746,Toyota,Corolla,2025,Premium,Sedan,White,Petrol,Automatic,1800,66202
IR84408475877,Honda,Accord,2018,LX,Sedan,Black,Hybrid,Automatic,1500,45793
iK08595576190,Ford,Explorer,2021,LX,SUV,Black,Electric,Manual,1800,63896
Hg01832431790,Toyota,Corolla,2022,Premium,Sedan,Red,Hybrid,Automatic,2500,55399
sK45389635771,BMW,5 Series,2021,SE,Sedan,Black,Hybrid,Automatic,2500,57467
Fi32089564855,Toyota,Camry,2023,SE,Sedan,Red,Petrol,Automatic,1800,23129
Fb83395932323,Honda,Accord,2023,SE,Sedan,Blue,Diesel,Manual,1800,55849
lh45249827382,BMW,3 Series,2023,SE,Sedan,Gray,Hybrid,Automatic,1500,44535
OE28704873980,BMW,5 Series,2023,SE,Sedan,White,Petrol,Manual,1800,38155
ba64962417302,BMW,5 Series,2018,LX,Sedan,Red,Petrol,Manual,1800,48336
jM07425577600,Tesla,Model 3,2021,SE,Sedan,Blue,Diesel,Manual,2500,22465
JQ01310159407,Honda,Civic,2020,XLE,Sedan,Red,Diesel,Automatic,2000,33240
Po13461261661,Honda,CR-V,2023,Sport,SUV,Blue,Petrol,Manual,3000,49752
Go24942469660,Tesla,Model S,2021,LX,Sedan,Blue,Petrol,Automatic,1500,37311
xj96087516595,Toyota,Camry,2025,SE,Sedan,Gray,Electric,Manual,2000,59754
RH69864927264,BMW,5 Series,2018,Premium,Sedan,Red,Petrol,Automatic,3000,64774
vu61585855388,Ford,F-150,2018,XLE,Truck,White,Petrol,Manual,3000,44937
oG64876546083,Toyota,Corolla,2020,XLE,Sedan,Gray,Hybrid,Manual,1800,40015
el29863306304,Honda,Accord,2020,Sport,Sedan,Gray,Diesel,Automatic,1500,34660
RC90240575272,Ford,Mustang,2018,XLE,Coupe,Red,Petrol,Manual,1500,45085
EA16165964498,BMW,5 Series,2019,Premium,Sedan,Gray,Hybrid,Automatic,2500,24533
ph31435848355,Honda,Accord,2019,SE,Sedan,White,Petrol,Manual,2500,62611
lJ62714752023,Tesla,Model 3,2020,SE,Sedan,Red,Electric,Manual,1500,52393
FK09115437645,Toyota,RAV4,2025,SE,SUV,Blue,Diesel,Manual,2000,60834
TB89291529575,Ford,Explorer,2025,LX,SUV,Blue,Electric,Automatic,3000,42862
ms75004516676,BMW,5 Series,2025,XLE,Sedan,Blue,Hybrid,Manual,3000,57768
Vz89054557992,Ford,Mustang,2024,Premium,Coupe,Red,Hybrid,Manual,2500,58060
AW05790804552,BMW,3 Series,2024,Sport,Sedan,Blue,Hybrid,Automatic,1500,78286
TA36944861734,Tesla,Model 3,2020,Sport,Sedan,White,Electric,Manual,1800,46684
gZ63700732353,Tesla,Model Y,2025,LX,SUV,Blue,Electric,Automatic,2500,56915
Fx27465431396,BMW,X5,2021,SE,SUV,Gray,Diesel,Automatic,2500,70635
MW38594399894,Tesla,Model Y,2020,LX,SUV,White,Hybrid,Manual,2500,48193
In99020580885,Honda,CR-V,2021,LX,SUV,Blue,Petrol,Automatic,1500,22591
Vx33745026137,BMW,3 Series,2023,XLE,Sedan,Blue,Hybrid,Manual,1800,59625
OA06304150344,BMW,3 Series,2024,SE,Sedan,Red,Diesel,Automatic,2000,21242
Rh61517358193,Honda,Accord,2019,Sport,Sedan,White,Electric,Automatic,1800,49053
rJ20002576677,Honda,Accord,2024,XLE,Sedan,Gray,Electric,Automatic,1500,31603
qw24458851466,Toyota,RAV4,2020,XLE,SUV,Blue,Electric,Automatic,3000,68559
Yi51115954746,BMW,5 Series,2020,LX,Sedan,Red,Diesel,Manual,1500,62818
Na15202941178,Tesla,Model S,2022,SE,Sedan,Gray,Hybrid,Manual,3000,36374
mB04066925376,Tesla,Model Y,2024,LX,SUV,Black,Diesel,Manual,2500,26392
do25518858423,Tesla,Model Y,2019,Premium,SUV,Gray,Hybrid,Manual,2500,22891
Oz27466174716,BMW,5 Series,2025,LX,Sedan,White,Electric,Automatic,1500,32110
OZ24969932090,BMW,3 Series,2023,LX,Sedan,Red,Petrol,Manual,2000,24993
lY35608444170,Honda,Civic,2020,SE,Sedan,Black,Petrol,Automatic,1800,63549
XR94425820433,Tesla,Model 3,2023,Sport,Sedan,Gray,Diesel,Automatic,2000,37179
Ai58853676738,BMW,5 Series,2023,Premium,Sedan,Blue,Diesel,Manual,3000,47302
kD60682877693,Honda,Accord,2020,Sport,Sedan,Blue,Electric,Automatic,1500,24631
Wu87374889336,BMW,3 Series,2018,Sport,Sedan,Gray,Electric,Automatic,1800,50138
bY15674869603,Toyota,Corolla,2025,XLE,Sedan,Red,Petrol,Manual,2000,64522
DK40937214909,Ford,Mustang,2021,Sport,Coupe,Black,Diesel,Automatic,2000,25517
wb86186476080,Toyota,Corolla,2021,XLE,Sedan,White,Hybrid,Automatic,2000,62055
ON96763284436,Tesla,Model 3,2022,SE,Sedan,Blue,Electric,Manual,2000,78403
yf52384896617,Honda,Accord,2019,XLE,Sedan,Red,Diesel,Automatic,3000,23718
Pn16248325202,Honda,Accord,2023,SE,Sedan,Gray,Petrol,Automatic,2500,60398
AN13188719681,BMW,3 Series,2019,Premium,Sedan,Blue,Electric,Manual,3000,55280
WZ69781978661,Tesla,Model Y,2020,SE,SUV,Gray,Petrol,Automatic,2000,49862
Es13921484963,Tesla,Model Y,2025,SE,SUV,Gray,Hybrid,Automatic,2500,73282
Gq71052130524,BMW,3 Series,2021,LX,Sedan,Black,Petrol,Automatic,2500,65080
EU58113927582,Toyota,Corolla,2018,LX,Sedan,White,Hybrid,Manual,2000,38880
zj59357431953,BMW,3 Series,2022,Premium,Sedan,Black,Electric,Manual,1500,70313
bd48363612504,Honda,CR-V,2023,Premium,SUV,Black,Hybrid,Manual,2000,59642
On82310431795,Toyota,Corolla,2023,Sport,Sedan,White,Hybrid,Automatic,1800,59634
TT29857103335,Ford,Explorer,2018,SE,SUV,Gray,Hybrid,Manual,3000,44476
lD42082301684,Tesla,Model Y,2019,LX,SUV,Gray,Petrol,Automatic,1800,67654
kw63129375852,Tesla,Model 3,2019,XLE,Sedan,White,Electric,Manual,3000,35432
tx65623273848,Honda,Civic,2025,Sport,Sedan,Red,Hybrid,Manual,2500,41328
IQ43215493589,BMW,X5,2020,LX,SUV,Blue,Electric,Automatic,3000,30632
